類型,年份,樓層,總坪數,房間數,價位（萬）
電梯大樓,32.4,7,51.85,8,3988
透天厝,23.6,7,35.36,8,6500
公寓,41.9,4,31.38,7,1350
電梯大樓,8.6,7,29.49,8,2980
電梯大樓,3.3,7,27.97,7,2598
電梯大樓,3.1,26,38.86,8,4780
公寓,36.8,5,31.5,7,1680
電梯大樓,20,9,15.22,5,1580
電梯大樓,7.3,18,21.1,6,3900
電梯大樓,6.9,14,38.82,7,8650
電梯大樓,19.6,9,18.08,5,1188
電梯大樓,25.2,11,19.06,4,1350
公寓,28.4,5,28.38,7,2450
電梯大樓,39.2,7,14.33,3,996
電梯大樓,10.9,9,7.61,3,1180
電梯大樓,24.2,14,42.58,8,2780
電梯大樓,9.1,15,20.02,5,2288
公寓,37.4,4,28.7,6,2200
電梯大樓,14.1,12,26.09,7,1680
電梯大樓,7.9,18,12.19,3,950
公寓,40.8,4,20.75,4,1760
公寓,50.8,4,28.28,5,2700
電梯大樓,36.1,12,43.39,3,1580
電梯大樓,2.1,15,42.79,8,4395
電梯大樓,10.9,12,60.07,9,9998
電梯大樓,1.1,11,29.94,7,2880
公寓,36.6,5,35.4,7,1500
電梯大樓,3.1,6,23.65,6,2900
電梯大樓,9.2,13,7.52,2,1400
公寓,40.8,4,24.16,6,1080
電梯大樓,31.1,14,22.86,7,2920
電梯大樓,10.3,12,7.84,3,1350
電梯大樓,4,5,11.41,3,1345
電梯大樓,39.5,7,32.85,6,4180
公寓,34.1,5,28.76,7,1880
公寓,41.8,4,27.98,6.5,1880
電梯大樓,8.4,9,6.68,3,1498
電梯大樓,45.5,12,48.03,8,5680
公寓,40.6,4,38.18,8,1980
公寓,32.7,5,28.88,6,1850
公寓,35.6,5,28.82,10,2100
公寓,48,4,35.71,7.5,3200
公寓,34,5,24.63,6,2100
電梯大樓,3.9,13,43.23,7,5988
電梯大樓,5.2,8,20.66,5,1760
公寓,37.2,4,22.99,6,1550
電梯大樓,10.5,19,16.96,4,3200
電梯大樓,7.6,24,35.52,7,3980
電梯大樓,9.9,12,41.48,7,4880
電梯大樓,8.4,12,55.59,9,9680
電梯大樓,15.9,14,41.17,7,4600
電梯大樓,32.3,7,33.68,7,3200
電梯大樓,4.6,14,42.29,7,5480
電梯大樓,4.6,14,33.01,7,4280
電梯大樓,5.5,6,29.59,7,4888
公寓,43.9,4,30.57,7,2300
電梯大樓,38.6,11,19.17,2,3080
公寓,38.5,5,33.15,7,1650
透天厝,31,3,131.6,16,34500
公寓,42.6,4,35.16,7,1398
公寓,41.7,4,50.73,8,3688
電梯大樓,32,12,36.06,8,2200
電梯大樓,33.7,12,23.74,7,1480
電梯大樓,32.3,12,25.79,7,1500
電梯大樓,37.3,7,37.94,7,2980
電梯大樓,18.4,6,10.07,3,1668
電梯大樓,9.6,14,19.29,5,1988
公寓,36.8,5,31.5,7,1680
電梯大樓,20,9,15.22,5,1580
