總坪數,價位（萬）
52.09,4880
46.53,3998
13.16,1768
57.62,4580
31.53,3500
9.19,990
27.17,2350
35.86,5468
74.54,21070
44,4800
8.39,1198
62.39,3750
14.71,1493
6.96,799
102.63,7980
83.13,4500
39.09,5200
15.19,1980
42.41,8200
39.28,2880
10.17,1999
59.32,15338
116.79,19600
35.34,3998
30.03,1500
32.37,3980
33.38,2550
49.47,4380
33.91,3850
7.4,998
26.57,1598
61.23,12000
10.86,1688
49.43,4880
24.57,2800
19.32,2780
5.25,850
26.68,3720
32.22,2780
35.13,3180
35.91,3150
22.44,3988
14.63,6500
37.08,6800
40.25,2680
30.13,3880
22.88,1448
23.3,1580
16.65,1980
38.56,1850
31.11,2850
34.24,8030
26.17,1980
27.79,2760
31.38,1300
54.96,6800
51.33,7680
31.62,980
27.51,2588
26.34,1360
12.48,1600
15.55,1555
40.75,3980
25.36,1998
24.8,3016
23.79,2679
53.75,4230
25.11,1800
37.25,2880
70.11,5488
29.59,3580
100.84,8980
20.83,2346
21.32,2190
30.35,1698
21.22,1380
17.38,2250
17.65,1850
15.31,1998
29.53,5588
33.98,5380
31.03,4700
13.87,1280
27.77,3680
18.18,1610
31.73,1258
26.36,2980
26.08,1820
36.81,3990
27.82,2980
37.75,4800
27.9,1680
12.16,2480
8.29,1240
16.76,2500
26.93,2780
37.09,2750
23.3,1638
18.37,2188
27.73,2500
13.28,1360
38.52,3080
29.23,1880
44.2,4500
35.21,2730
37.82,4280
43.84,6150
13.87,2060
16.71,1640
17.74,2650
35.64,4980
25.72,1680
32.34,4388
86.89,4950
18.78,1200
18.36,1880
24.81,2780
7.98,1188
34.19,2750
27.58,2480
28.4,3660
17.79,2188
28.49,2788
21.47,2350
16.38,1750
8.61,798
8.81,1300
27.51,2980
19.09,2398
30.05,2812
10.75,1550
42.83,5270
29.18,1380
28.26,2980
8.2,1328
33.89,1780
213.1,12888
36.87,3800
31.3,2580
26.2,1780
23.12,2480
26.41,2600
29.07,1770
54.16,4500
41.17,3250
42.98,4790
23.33,2380
17.6,1358
73.71,5680
53.87,13988
39.87,5680
29.19,3645
29.51,2488
31.79,3900
64.22,14800
14.53,2788
18.32,2700
47.6,3280
31.31,3264
19.23,3268
7.52,1400
24.16,1080
22.86,2920
7.84,1350
11.41,1345
32.85,4180
28.76,1880
27.98,1880
6.68,1498
48.03,5680
38.18,1980
28.88,1850
28.82,2100
35.71,3200
24.63,2100
43.23,5988
20.66,1760
22.99,1550
16.96,3200
35.46,2980
6.48,1060
21.88,3800
